id,input_text,expected_risk,expected_technique,notes
T001,警視庁捜査二課の者です。あなた名義の口座がマネーロンダリングに使われており、逮捕状が出ています。無関係を証明するため、資産を調査用の安全な口座へ移してください。ビデオ通話で警察手帳をお見せします。,high,nise_keisatsu,ニセ警察・資産移転要求＋ビデオ通話
T002,検察庁です。あなたは詐欺事件の重要参考人になっています。このことは家族にも絶対に話さないでください。無実の証明には保釈保証金の振り込みが必要です。,high,nise_keisatsu,ニセ警察・秘匿指示＋振込要求
T003,【警察庁】あなたの口座は凍結対象です。解除には本人確認が必要です。こちらから手続きしてください http://example.com/verify,high,nise_keisatsu,ニセ警察・SMSフィッシング型（URLは安全なダミー）
T004,"区役所保険年金課です。医療費の払い戻しが24,800円あります。本日が期限ですので、お近くのスーパーのATMで手続きできます。携帯電話をお持ちのうえATMに着いたらお電話ください。",high,kanpukin,還付金・ATM誘導＋期限で焦らせる
T005,年金事務所です。未払いの年金の返還があります。お使いのキャッシュカードは古い形式のため、ATMでの更新手続きが必要です。操作方法はお電話で丁寧にご案内します。,high,kanpukin,還付金・カード更新名目のATM操作指示
T006,お母さんへ。今日は残業で19時半ごろ帰ります。夕飯はいりません。駅に着いたらまた連絡するね。,low,none,正常文・家族の日常連絡（金銭の話なし）
T007,ご利用料金の未納が発生しています。本日中にご連絡なき場合、法的手続きに移行いたします。〇〇通信サポートセンター 03-0000-0000,high,kakuu_seikyu,架空請求・法的措置で脅すSMS
T008,動画配信サービスの有料会員費が2年分未納となっています。本日中にコンビニでプリペイドカードを購入し、番号をお伝えいただければ裁判は取り下げます。,high,kakuu_seikyu,架空請求・電子マネー購入指示
T009,投資家の者です。私の指導グループでは毎月20%の利益が出ています。まずはこの取引アプリを入れて30万円から始めましょう。なお利益の出金には別途手数料のお振り込みが必要です。,high,sns_toushi_romance,投資詐欺・高利回り断定＋出金手数料
T010,マッチングアプリで知り合った交際相手から：結婚を考えている君にだけ特別な話。二人の将来のために、私が使っている暗号資産の取引所に一緒に入金しよう。運用は私が代わりにやってあげる。,high,sns_toushi_romance,ロマンス詐欺・恋愛感情の悪用
T011,著名投資家の公式LINEグループに招待されました。『アシスタント』を名乗る人から個別メッセージが来て、指定の個人名義口座への入金を案内されています。,high,sns_toushi_romance,著名人騙り投資グループ・個人口座への入金
T012,もしもし、俺だけど。携帯を落として番号が変わったんだ。実は会社のお金を使い込んでしまって、今日中に200万円必要なんだ。同僚が家まで取りに行くから、現金で渡してほしい。,high,oreore,オレオレ・番号変更＋現金手交
T013,息子を名乗る電話：風邪をひいて声がおかしいんだ。取引先に渡す小切手の入った鞄をなくした。弁償のお金を今日中に立て替えてほしい。,high,oreore,オレオレ・声の違いの言い訳＋緊急金銭要求
T014,パソコンに『ウイルスに感染しました。マイクロソフトサポートへ今すぐ電話してください』という警告が表示され消えません。電話したところ、遠隔操作ソフトのインストールと、修理費用としてコンビニで電子マネー5万円分の購入を指示されました。,high,support,サポート詐欺・遠隔操作＋電子マネー
T015,スマホの画面に『ハッキングされています』と警告が出て、記載の番号に電話したら、セキュリティ対策費用としてギフトカードを買って番号を読み上げるよう言われています。,high,support,サポート詐欺・ギフトカード読み上げ
T016,銀行協会の職員を名乗る電話：あなたの口座が不正利用されています。キャッシュカードを新しいものに交換する必要があるので、これから職員がご自宅に伺います。暗証番号を封筒にメモしてカードと一緒にご用意ください。,high,yokin,預貯金詐欺／キャッシュカード詐欺盗・自宅訪問＋暗証番号
T017,非通知の電話で『ご主人は何時ごろお帰りですか。ご自宅に現金はどのくらい置いていますか。近々、防犯の調査で伺います』と聞かれ、名乗らずに切られました。,caution,unknown,アポ電（予兆電話）の疑い・金銭要求はまだない
T018,知らない番号からSMS：『お荷物のお届けに伺いましたが不在のため持ち帰りました。再配達のご依頼はこちら』とリンクが付いています。荷物を頼んだ覚えはありません。,caution,unknown,不在通知型フィッシングの疑い（特殊詐欺分類外）
T019,〇〇区役所です。特定健康診査の受診券を6月末に発送しました。受診をご希望の方は同封の案内をご確認ください。お問い合わせは区公式ホームページに記載の代表電話までお願いします。,low,none,正常文・区役所の実務連絡（金銭要求なし・折返し誘導なし）
T020,【〇〇銀行】システムメンテナンスのお知らせ：6月15日2時から5時までインターネットバンキングをご利用いただけません。お客様によるお手続きは不要です。,low,none,正常文・操作を求めない告知
